rank,name,level,win
243,adc on1y,175,251
244,PKMNtrainerRed,78,184
245,광연4,222,151
246,Samver,207,193
247,폼 팡,721,161
248,Look to Sky,279,115
249,1달안에챌린저,61,94
250,xiao cai niao,109,227
251,펭귄빙산추락,239,182
252,E T E R N U M l,94,137
253,zxcvkwerty,53,166
254,PowderSn0w,361,142
255,파 고,351,214
256,DK ShowMaker,386,101
257,트위치김수당,593,174
258,뉘셰핑,57,166
259,Recall99,159,109
260,어떡해 1997,256,272
261,조이현내누나,126,92
262,무조건이겨야함,189,123
263,NEED HER,641,188
264,Lumen AD,436,89
265,김잡초,138,218
266,HLE Cracker,196,139
267,직스 좀 믿어줘,446,87
268,cong qian man,122,407
269,노력 끈기 집중,94,491
270,Lehends,483,164
271,군고구마초록매실,75,229
272,Yuukika,47,102
273,NekoL,367,138
274,Heimskaut refur,54,172
275,땅에 묻히다,102,118
276,FPX q2380023067g,57,162
277,T1 Poby,82,272
278,엉덩국 갱승제로,344,250
279,청포도육포,122,180
280,더블큐티준서버거,186,147
281,HLE OnFleek,564,157
282,XiaoHuaSheng7,514,119
283,노정택,45,100
284,초보원딜러,215,122
285,DK Kingdom,697,402
286,I want 1000lp,47,116
287,Pungyeonn,60,156
288,Nierland,48,116
289,natsunoomoide,469,204
290,옥모화안,124,286
291,cainiao7hao,60,216
292,gnaixnay,161,125
293,Quad,145,173
294,climber climber,238,247
295,헤이스트,741,242
296,은아 예쁘다,424,252
297,몹시 언짢음,94,174
298,Hegforelly,139,179
299,일몰수정,59,185
300,Gon123,363,333
301,zcqwdaqws,492,286
302,kaaanavi,303,195
303,LSB TA K ON,198,250
304,not worth it,423,160
305,hyc0505,321,189
306,hunzi2,123,178
307,강하다 별,414,284
308,Fatty,154,91
309,Wilder,721,417
310,심찬규,293,198
311,E dal,602,315
312,Aileri,119,159
313,su yi ming,74,312
314,사막여우겨울나기,76,335
315,oilf3,219,300
316,호잇이,692,179
317,08탑프로지망,613,165
318,Ballantine30,101,117
319,지훈백크,165,237
320,Bearduck,325,106
321,Zrs,277,94
322,그냥 죽여놓을게,420,85
323,xiaoohao,322,127
324,Iove poppy,131,210
325,사랑하지 않아,165,75
326,듀오강의코코팀,86,207
327,부커1,205,133
328,HLE Seonbi,453,174
329,11baby,342,140
330,laji fuzhu,94,141
331,T1 Smash1,220,141
332,TTAsusu,54,94
333,zcxadfst,46,117
334,박 구 원,95,212
335,꿀단지3,49,144
336,HLE Bola,194,162
337,tianqileng,68,62
338,Dont be arrogant,44,93
339,yyzx,393,193
340,rainyday1111,57,205
341,Map1eStory275Lv,70,295
342,쌍쌍바 반띵하자,58,194
343,KT VicLa,310,212
344,갱붕이,409,347
345,소년가장 원딜,171,184
346,duckling,67,280
347,Iove u,73,277
348,61110002,224,214
349,짱구철수훈이유리,133,218
350,꿀잼사과잼,265,109
351,eehh,79,388
352,if lose jug gap,69,186
353,KDF Moham,319,144
354,iiliilliiIIi,317,215
355,nyxxynxyn,638,262
356,NS HH,361,356
357,DRX 홍창현,828,196
358,Unknown Surf,350,112
359,평정심을 잃지마,175,121
360,메로나마싯다,49,115
361,asdada,52,173
362,nimamazhendu0,97,260
363,오리지널찰떡쿠키,183,107
364,asdasdfdafqw,55,173
365,wybaby,161,132
366,bilibili24400071,52,151
367,zxcvyn,152,228
368,Mg mid,291,293
369,패배를까먹은사람,93,190
370,원딜 바보 이채환,304,246
371,KcitselddiF,189,135
372,kamaru,54,71
373,NanchangPopsmoke,53,164
374,Hu Piao Liang,141,157
375,Refrainment,64,81
376,해강고 원딜,446,220
377,구I두라미,294,199
378,86 zhendewudi,452,184
379,bu sh1 ben ren,151,239
380,여주월,330,222
